"Year","Month","BusinessApplications","ConstructionSpending","DurableGoodsNewOrders","InternationalTrade_Exports","InternationalTrade_Imports","ManuInventories","ManuNewOrders","NewHomesForSale","NewHomesSold","ResConstPermits","ResConstUnitsCompleted","ResConstUnitsStarted","RetailInventories","SalesForRetailAndFood","WholesaleInventories"
2004,7,159396,1006184,186835,96907,148513,426260,356710,400,1088,2112,1881,2002,454032,318549,326753
2004,8,192188,1013616,183728,97295,150942,429820,355629,405,1175,2056,1911,2024,457271,318977,330102
2004,9,191225,1012080,188444,98782,150468,430989,361042,410,1214,2041,1796,1905,456162,324569,330046
2004,10,191102,1015719,185187,100494,155552,434813,364476,413,1305,2097,1839,2072,455096,326740,335173
2004,11,211318,1022994,192545,100090,159057,439997,373177,418,1179,2079,1758,1782,459431,327836,339330
2004,12,193328,1037480,193578,102781,157699,441222,373419,422,1242,2082,1921,2042,460394,331874,340128
2005,1,201725,1046082,194875,103206,159395,446240,378937,441,1203,2139,1892,2144,461016,328696,345246
2005,2,204234,1066848,196475,104010,162104,451361,381880,446,1319,2114,1908,2207,462872,333026,347068
2005,3,201630,1071745,186608,105098,158231,455394,374642,445,1328,2062,1787,1864,464979,333581,348774
2005,4,204096,1081012,194847,107268,164580,456990,385450,445,1260,2150,1927,2061,465861,336583,351996
2005,5,203523,1093341,206623,107079,163120,457623,395916,450,1286,2085,2103,2025,465988,334522,352838
2005,6,210096,1105896,210020,107033,165185,458507,400506,455,1274,2178,1965,2068,463147,343998,354277
2005,7,207999,1119101,194475,107082,165383,461924,386590,464,1389,2203,1886,2054,452724,346576,355552
2005,8,204797,1129163,204839,108475,167220,461964,401287,476,1255,2219,1952,2095,455534,343307,357368
2005,9,184551,1148438,203997,107156,172039,463598,404154,487,1244,2263,1922,2151,460270,343956,358769
2005,10,230658,1160831,209901,109813,177078,467552,409487,490,1336,2170,1962,2065,461942,344097,361845
2005,11,222505,1172090,220733,111462,175321,470206,421486,502,1214,2218,1907,2147,467074,347325,363476
2005,12,233703,1184677,221499,113822,178391,474639,422981,511,1239,2120,1941,1994,471700,347405,367822
2006,1,216481,1195642,209540,115831,182797,479543,415824,523,1174,2212,2036,2273,474302,357331,369450
2006,2,225673,1205639,219738,116871,179180,481048,421074,539,1061,2141,2048,2119,473254,354706,372985
2006,3,222474,1205169,227188,118821,181217,486076,430457,552,1116,2118,2245,1969,479481,355665,374722
2006,4,223297,1193296,214625,119611,182213,491322,418625,565,1123,1998,2071,1821,477862,357423,379226
2006,5,222048,1180581,215819,121155,185973,496672,423472,565,1086,1905,1897,1942,484518,356704,382161
2006,6,218254,1172128,221220,122726,186526,501897,427440,566,1074,1867,2050,1802,488787,357879,385111
2006,7,220254,1157926,209494,120430,187339,506637,416849,572,965,1763,1934,1737,485766,359006,388619
2006,8,218935,1145907,210473,122780,191057,511525,418759,566,1035,1722,1877,1650,487446,360691,392217
2006,9,212057,1135753,234701,124052,189146,516251,435776,559,1016,1655,2011,1720,485983,358961,394224
2006,10,206805,1122914,216952,125532,185072,519748,415798,554,941,1570,1918,1491,485583,358462,396412
2006,11,202263,1121749,224809,127388,186327,522206,426451,543,1003,1535,1893,1570,484834,359266,400298
2006,12,247115,1135406,229243,128795,190677,523476,437894,536,998,1638,1888,1649,486412,363730,398792
2007,1,206985,1137917,222969,130648,188661,524494,427905,538,891,1626,1822,1409,488010,363616,400079
2007,2,217706,1139032,220962,129481,187960,527703,430410,544,828,1598,1640,1480,489691,364006,401751
2007,3,216090,1146624,229526,133835,196018,529461,442158,545,833,1596,1623,1495,487268,367158,404080
2007,4,214518,1150590,233420,133351,193845,533451,446596,548,887,1470,1539,1490,489640,366187,405510
2007,5,220719,1161581,228836,135835,195406,538547,445891,545,842,1493,1536,1415,492929,370934,406748
2007,6,221767,1163511,228868,137312,197310,540804,446539,542,793,1407,1481,1448,496146,368154,408205
2007,7,221308,1155448,233176,138546,198792,541015,450464,537,778,1361,1534,1354,497100,369614,409097
2007,8,218353,1159077,235758,141519,198733,542345,452598,533,699,1321,1512,1330,500179,371358,410271
2007,9,226146,1158580,226473,142069,200228,548039,448633,527,686,1261,1356,1183,499246,372869,413197
2007,10,233182,1152491,230700,144525,202191,551124,458907,514,727,1192,1405,1264,500684,375289,414437
2007,11,213292,1132908,227005,146264,206947,556989,464910,503,641,1224,1390,1197,500361,378860,419306
2007,12,245389,1115141,244443,147428,205719,563043,481274,497,619,1149,1328,1037,500578,374298,424602
2008,1,207457,1111347,239389,151094,212433,568357,478676,487,627,1094,1331,1084,501753,375236,430048
2008,2,210454,1096648,235037,153660,217886,570114,473714,477,593,1014,1274,1103,502096,371833,435091
2008,3,220356,1103446,234868,152900,213100,573237,473829,470,535,967,1195,1005,498986,372745,435780
2008,4,219304,1101252,231086,157363,221095,571883,477888,458,536,1008,1022,1013,499734,372572,442932
2008,5,216014,1101547,227370,159081,221392,573696,477706,451,504,995,1142,973,498206,376036,445473
2008,6,210771,1090098,229262,164072,224962,577427,485010,435,487,1180,1142,1046,497540,376455,451820
2008,7,209946,1086952,220411,166232,233221,578433,477725,419,477,921,1087,923,499764,375038,457528
2008,8,222490,1070075,214106,163335,225729,580335,463929,409,435,858,1017,844,497387,372284,461444
2008,9,210337,1059579,215245,154611,214904,572743,452545,395,433,797,1160,820,495570,366729,460429
2008,10,205209,1055959,191912,151854,212732,567064,419715,381,393,736,1055,777,493146,352950,453954
2008,11,204190,1035033,181552,142973,188105,560227,386733,371,389,626,1076,652,487270,339350,450613
2008,12,186959,999139,173849,132410,176377,543273,365490,353,377,554,1021,560,476725,332091,445745
2009,1,207516,975099,151085,125859,165201,538445,343559,341,336,545,777,490,468396,336929,441044
2009,2,195389,971708,148834,127893,156671,530391,343150,326,372,558,819,582,463700,335576,432972
2009,3,198726,963793,146323,126478,156670,523409,333431,311,339,513,839,505,458128,329747,424662
2009,4,198982,932482,147467,125323,155797,517053,334449,300,337,521,846,478,452171,331352,418480
2009,5,200006,920020,149255,127342,153181,513838,339817,291,376,556,818,540,445392,334256,413161
2009,6,203046,912530,147033,129796,156947,507452,345129,280,393,601,797,585,439526,339883,407633
2009,7,207412,911438,153691,131878,165185,504096,348909,270,411,595,797,594,432746,340517,401667
2009,8,201608,900112,157489,132567,164240,501500,355776,261,418,616,792,586,423464,346668,396719
2009,9,205708,887241,158041,137047,172294,498099,359189,252,386,609,721,585,425136,338507,392089
2009,10,203589,871391,161097,141055,176014,502146,366143,243,396,583,746,534,427937,341654,393543
2009,11,207362,858493,160419,142075,180456,504770,369445,237,375,623,844,588,429697,344375,399584
2009,12,201060,842609,160520,145480,184906,505025,371392,234,352,664,750,581,428482,346072,398058
2010,1,201501,822114,181016,145718,183463,505695,393694,233,345,636,689,614,429940,346046,398260
2010,2,202525,814885,180450,146849,188353,510367,394215,231,336,650,670,604,432422,346702,399869
2010,3,203445,821849,182148,151080,191351,512320,400659,227,381,687,635,636,433988,354147,402348
2010,4,206358,829664,182948,150006,191502,515075,400842,217,422,637,737,687,434952,357304,403649
2010,5,210952,823447,189932,153819,195907,515983,404370,216,280,575,702,583,436393,354015,405484
2010,6,204818,821943,185667,153326,200641,519456,400624,212,305,587,894,536,440451,353683,407721
2010,7,207726,799694,187506,156763,198373,523182,402326,209,283,579,572,546,443855,354622,412878
2010,8,207623,802030,191745,157769,203388,525386,408354,206,282,580,592,599,448160,356573,418261
2010,9,213896,807728,201932,158624,202958,531038,422049,201,317,563,632,594,451507,359257,424355
2010,10,213942,801372,193066,164234,204881,538163,417830,199,291,558,605,543,452584,363557,432780
2010,11,221182,804151,197202,165621,204360,545104,426427,195,287,560,552,545,453130,367050,436289
2010,12,205762,789395,193452,168510,210232,553726,429764,190,326,632,565,539,453484,369192,443258
2011,1,220103,759964,203636,169897,218020,560473,445734,187,307,576,520,630,455071,371782,446874
2011,2,224254,758376,196393,168665,213418,566076,438975,183,270,542,615,517,453813,375001,452342
2011,3,213466,769157,212748,176676,220988,573235,463133,179,300,583,591,600,458567,378434,457170
2011,4,213893,769437,200733,178839,221523,582766,454441,173,310,581,549,554,460172,380295,459740
2011,5,186371,775251,207170,178856,226581,589349,458536,168,305,618,549,561,461803,380140,469672
2011,6,219908,794839,201579,176894,226777,591280,454746,166,301,636,579,608,461393,383141,474387
2011,7,216798,792381,206458,181502,227572,594906,459477,166,296,621,634,623,461678,382882,477864
2011,8,213061,811953,216705,182475,227527,596862,468947,162,299,647,614,585,465310,383682,479718
2011,9,212505,813660,204738,183858,227334,595570,457843,160,304,610,603,650,465080,387558,476060
2011,10,205576,808378,210799,182681,228191,602499,463126,158,316,671,566,610,467522,389844,480776
2011,11,220941,812050,215531,180797,228258,605644,471598,155,328,706,585,711,470258,391167,482025
2011,12,228399,821367,223835,182411,231885,607035,478391,151,341,697,610,694,471274,391535,488893
2012,1,185104,830610,225937,182425,232551,609553,481499,149,335,712,545,723,473809,395459,490659
2012,2,214396,824368,226558,185085,227865,611276,486486,147,366,738,561,704,478414,400155,497404
2012,3,216914,829288,221576,188511,238260,612784,480182,145,354,806,582,695,481378,401556,498988
2012,4,217873,841740,218638,187092,233934,612573,474139,144,354,732,671,753,485721,399953,502794
2012,5,220586,850928,219624,187375,232481,612377,472924,144,370,796,626,708,489912,399106,503629
2012,6,208507,858009,217525,187247,230188,612376,462398,145,360,794,625,757,492863,395630,506445
2012,7,208385,858934,221641,186714,229120,615016,471418,142,369,849,676,740,497455,397399,512467
2012,8,208841,862726,200956,184999,229029,617925,456667,143,375,840,684,754,499007,402164,514653
2012,9,207142,866588,217254,191182,229976,622433,475393,144,385,930,652,847,501710,405251,520461
2012,10,212470,875366,219337,186133,227600,622456,479227,147,358,887,730,915,503066,405422,519701
2012,11,202005,872052,217198,188461,233794,623840,476019,150,392,917,668,833,503381,407266,524645
2012,12,274354,871809,230285,192226,228560,625223,488118,150,399,941,677,976,507309,408758,525589
2013,1,219831,862722,223890,190283,230418,627353,486079,149,446,940,714,888,512893,412017,529886
2013,2,211994,873583,235117,192436,233440,628035,501834,152,447,980,729,962,515646,417067,528692
2013,3,216723,864510,216621,189856,224170,627930,474511,155,444,936,816,1010,514728,414115,529339
2013,4,213197,879728,226820,190603,229090,627786,481757,161,441,1012,712,835,516553,411862,531360
2013,5,207175,888752,236294,189837,231538,625329,493924,163,428,1003,708,930,518737,414350,528172
2013,6,217038,899295,246674,192921,227347,625533,501236,161,470,942,736,839,521476,415454,528429
2013,7,218374,917756,218822,192125,228481,627192,479590,171,375,997,784,880,522792,418215,529863
2013,8,221515,929061,225984,192449,229065,629456,486373,175,381,964,765,917,525016,417389,534096
2013,9,212885,938121,238334,192505,232422,630542,497394,183,403,1004,776,850,530351,417699,537274
2013,10,223322,951214,232617,196471,232757,630607,492467,183,444,1044,801,925,534359,419288,542992
2013,11,221593,964122,243461,197292,231275,629120,503958,184,446,1029,839,1100,541432,420468,547599
2013,12,227897,979211,237477,196343,229979,631970,500015,186,433,1005,778,1002,544866,422930,550312
2014,1,209883,986587,224720,195789,233222,634021,487239,189,443,976,838,888,545192,419051,553595
2014,2,222335,987538,232400,195059,235178,639958,497377,187,420,1039,876,944,545181,424784,557219
2014,3,228193,991157,234867,199559,242498,640798,496999,190,405,1067,893,970,547088,429251,562290
2014,4,225862,1006901,237974,199056,242790,642278,501689,190,403,1090,834,1043,547895,433581,567025
2014,5,223576,1007147,233821,201418,240993,647120,495076,194,451,1018,891,1007,550176,434292,568271
2014,6,226284,1006424,238175,200514,239410,647484,499161,199,418,1010,800,911,552166,435487,570096
2014,7,222304,1014935,297311,200758,239693,647875,556708,207,402,1076,839,1085,556294,436102,570628
2014,8,226262,1015096,238130,202226,239161,648684,497281,207,456,1047,908,984,557388,439643,574733
2014,9,228254,1021890,236971,199556,241228,649425,493702,210,470,1077,975,1023,557052,438535,576171
2014,10,226558,1046402,232753,201376,242443,647551,484994,209,476,1094,920,1074,559057,440128,579989
2014,11,222024,1044893,227919,198893,238700,647744,476531,211,442,1059,863,1001,559466,441139,584449
2014,12,205650,1056429,225328,198413,241251,642904,465167,210,497,1072,955,1073,561251,438604,585479
2015,1,256535,1061241,225583,194245,233110,642492,457300,207,515,1049,954,1085,560469,436142,586276
2015,2,229419,1072895,219261,191934,225837,642648,453837,203,540,1127,863,886,563090,435398,589570
2015,3,229305,1086748,228929,192271,241004,642875,462057,204,480,1072,781,960,563612,442001,591704
2015,4,230978,1115619,226400,193086,232923,643593,460428,206,502,1166,1001,1190,568033,442898,592522
2015,5,225231,1135433,217773,191918,230420,644256,451000,211,502,1272,1012,1079,568908,446305,595781
2015,6,233973,1158193,229862,191512,233937,648578,464015,216,480,1379,962,1205,571554,446649,600558
2015,7,237550,1154561,225207,190841,231181,647329,457118,218,506,1140,988,1146,574169,450262,599456
2015,8,234389,1164377,223617,188084,232289,645052,451697,217,518,1165,974,1130,577897,450270,600738
2015,9,239947,1163937,218286,189155,230796,641688,443966,224,456,1144,1040,1224,583162,448091,602275
2015,10,243223,1151533,226002,187795,228668,641929,450663,226,482,1160,985,1058,586327,447083,601732
2015,11,237042,1145510,224273,185419,225870,639395,445862,229,504,1244,1000,1172,587475,448892,599386
2015,12,225859,1156354,218351,184517,225521,638382,436539,232,546,1211,1023,1146,587748,450611,596937
2016,1,260494,1160988,228376,180951,220997,634387,442236,236,505,1171,1056,1092,591049,447561,596961
2016,2,240888,1172851,218324,183033,226338,631748,432214,239,517,1172,1037,1225,592953,451821,593043
2016,3,236691,1188776,217946,182054,218854,631929,435508,242,532,1118,1003,1111,597707,450561,594220
2016,4,243845,1185902,230089,184167,222215,631225,448206,242,576,1160,945,1163,598318,452443,599800
2016,5,255112,1190685,222343,185125,224156,631644,441873,241,571,1205,1000,1148,601197,454003,602045
2016,6,216657,1217604,207317,186833,228552,631904,430180,244,557,1208,1109,1203,602148,458757,601997
2016,7,261307,1214532,214614,188195,228127,632279,434449,238,628,1198,1072,1239,603319,458192,601366
2016,8,248033,1221250,218193,190173,230319,633264,438958,240,575,1201,1054,1171,603760,458505,600123
2016,9,254587,1232438,216736,190713,227717,631744,438743,243,558,1303,1035,1068,606386,461454,601927
2016,10,245260,1241100,233161,189343,227898,631891,456064,249,575,1254,1070,1313,606483,462455,603307
2016,11,252790,1264881,217757,187654,231549,634531,439699,248,571,1230,1244,1140,610988,462288,607785
2016,12,260444,1270443,219506,192583,233560,636017,448532,254,561,1248,1101,1252,610037,467979,611409
2017,1,263878,1254583,218959,195435,238992,637093,448135,257,573,1296,1081,1190,613091,473101,610992
2017,2,259442,1275911,222710,196492,236277,638380,453347,261,587,1237,1148,1271,613951,472927,612182
2017,3,262185,1272724,222381,196213,237337,637898,451314,265,632,1273,1147,1190,616783,472170,613377
2017,4,261569,1269079,223956,196038,240265,638800,453095,268,598,1239,1069,1146,616253,473916,611125
2017,5,261661,1282926,223013,195533,239517,638491,450801,271,635,1205,1170,1157,617692,471486,614476
2017,6,267661,1277352,236306,197990,240568,638808,464267,274,619,1353,1236,1249,621046,473538,619549
2017,7,267670,1275888,216917,197260,241114,641891,446135,277,572,1254,1173,1206,621593,473583,622548
2017,8,269320,1274974,222157,198957,240348,645107,453405,281,556,1336,1107,1159,624981,474421,626610
2017,9,260263,1281172,228374,201125,242718,649285,461398,282,637,1277,1113,1181,620220,484107,630221
2017,10,272724,1283266,227767,202855,245703,651607,463387,286,626,1360,1196,1257,621177,485016,628125
2017,11,282007,1308896,231932,206890,252353,655012,473055,287,711,1295,1182,1273,622862,489917,631673
2017,12,268743,1313666,240990,209690,256224,659143,482515,293,630,1312,1200,1177,625859,492859,632608
2018,1,296769,1336469,227031,207272,254344,660579,470358,293,590,1311,1208,1299,626861,490447,638324
2018,2,284723,1355105,234407,210459,259252,664424,478186,296,618,1331,1288,1277,629229,493422,643096
2018,3,289592,1344968,242104,213248,256757,663136,485759,297,679,1381,1181,1318,627694,493123,644681
2018,4,286027,1355101,240986,212217,258346,664922,484904,300,642,1365,1224,1276,630502,494303,644270
2018,5,293177,1362364,242260,215630,257051,665817,491088,301,662,1331,1262,1357,632727,500585,644392
2018,6,296834,1343214,241144,213408,258219,665794,490399,310,636,1338,1212,1192,635108,498989,644854
2018,7,291213,1336631,232691,211270,260943,672937,482153,313,628,1333,1150,1208,636671,502441,647405
2018,8,295669,1340449,242703,211044,260602,673221,493491,319,593,1293,1262,1288,640720,502076,653709
2018,9,290592,1326111,245115,213474,264037,677237,497078,325,595,1320,1187,1250,642707,499995,657978
2018,10,286155,1310946,237105,214014,266466,678308,488401,331,554,1280,1122,1221,647356,505338,662228
2018,11,290989,1300694,233504,211474,260876,678080,478782,334,625,1334,1131,1181,645405,507073,663998
2018,12,298205,1289930,239527,208953,264164,677778,480899,346,546,1320,1053,1095,653901,496683,671067
2019,1,276149,1296049,234212,210653,259800,682350,475906,346,591,1254,1258,1232,657441,499639,676839
2019,2,298130,1312040,226038,212670,259934,685920,469860,339,638,1302,1334,1128,658334,500570,679840
2019,3,301478,1322532,234890,214371,262838,688201,478332,337,705,1291,1301,1195,657466,508402,678651
2019,4,293421,1353657,227712,210690,260123,690367,472540,334,695,1298,1329,1267,658355,508687,685316
2019,5,287313,1364421,221561,214860,265163,691817,465277,337,602,1338,1226,1307,660250,512334,686603
2019,6,291027,1383309,220513,212070,260588,693378,459808,331,763,1301,1169,1228,660757,513162,686986
2019,7,280569,1410749,225425,212457,260746,697319,465393,329,669,1347,1219,1245,662671,517547,686770
2019,8,291717,1426091,225092,211872,260437,699092,463594,326,720,1528,1294,1367,662333,521011,686434
2019,9,291631,1438119,222770,211240,255782,701033,459905,323,715,1491,1150,1300,662240,518121,682531
2019,10,297968,1442150,222598,211351,253155,702037,456682,319,721,1538,1294,1332,663803,519530,680236
2019,11,294429,1463036,214077,211820,250776,704897,447983,320,710,1522,1244,1346,659128,523313,680239
2019,12,314337,1466415,216195,212221,256328,707875,450593,323,693,1461,1310,1551,656066,525405,679805
2020,1,281494,1494117,230043,208162,252112,706263,459985,325,685,1500,1302,1572,655834,524991,674910
2020,2,302107,1501790,233666,208203,248814,703904,459240,328,699,1440,1271,1565,652874,525359,669284
2020,3,259849,1506335,199092,188470,232437,696103,412598,332,609,1348,1247,1267,659567,478099,662390
2020,4,235789,1460471,160657,150287,203267,693844,355226,325,569,1050,1207,925,633550,408187,661536
2020,5,297574,1452086,181645,145713,200413,692702,377305,313,696,1253,1171,1054,595571,485791,653680
2020,6,377264,1459188,198944,159671,208792,694638,405685,300,936,1329,1244,1266,579092,527459,645719
2020,7,545914,1470971,218392,172123,231592,692666,430361,289,1019,1526,1314,1529,584221,535844,646504
2020,8,484561,1489640,221125,175854,238074,694030,435740,284,1029,1564,1238,1377,590660,541193,650005
2020,9,435167,1510182,226373,181772,239954,692912,442764,283,988,1643,1446,1463,600847,551970,654499
2020,10,411616,1534900,231003,185464,246953,693837,449106,281,1027,1622,1370,1537,610172,549765,662716
2020,11,398000,1550976,230692,189137,253551,699996,453631,287,863,1713,1240,1545,615859,544839,663302
2020,12,349734,1572760,234659,195292,257068,702549,464778,299,873,1760,1386,1663,623609,550198,666011
2021,1,486082,1606561,244935,198973,261303,707581,482597,303,901,1866,1344,1602,626486,569309,675474
2021,2,430923,1585044,244658,194937,259808,718470,484865,310,765,1700,1322,1422,626813,554929,681579
2021,3,451177,1613045,246475,207834,273775,724309,490016,309,850,1731,1459,1700,617003,615573,687513
2021,4,498829,1615638,245453,207083,272981,729352,493792,318,810,1714,1438,1484,609461,620556,692702
2021,5,502805,1628281,250043,209768,276147,739482,503868,332,715,1680,1337,1600,605763,615378,702434
2021,6,446475,1639779,253573,212192,283023,749813,513395,347,716,1644,1298,1661,606457,621612,709728
2021,7,441675,1658346,252955,215164,284503,758652,517215,362,760,1618,1361,1593,615026,612394,717643
2021,8,428564,1666756,258736,216566,288383,768426,526167,375,690,1837,1312,1576,616929,617658,726875
2021,9,430066,1667332,254759,213010,289781,779908,525605,374,742,1636,1232,1560,619617,622104,736967
2021,10,430188,1685243,257816,227130,294490,789112,534899,385,680,1727,1259,1572,623873,632065,753664
2021,11,436215,1726586,261651,229746,309125,801011,543287,388,772,1775,1389,1712,635711,639228,765248
2021,12,425030,1754426,267750,234625,315282,808730,551072,387,830,1948,1337,1787,665335,635598,785340
2022,1,434112,1796460,273151,230744,317247,815755,559007,394,810,1898,1256,1669,684079,644750,796786
2022,2,422268,1823728,269191,234899,321859,824080,559703,397,773,1817,1371,1771,695560,653552,819127
2022,3,414800,1849637,268835,245683,348219,835879,572249,413,707,1877,1356,1713,713759,667050,839309
2022,4,433849,1882753,271541,252755,338771,839163,576316,434,611,1795,1361,1803,716992,675899,859103
2022,5,425654,1880896,273368,255141,339216,849775,583700,441,636,1708,1446,1543,728133,674915,878251
2022,6,407475,1873184,277698,258566,339417,854146,593123,448,563,1701,1392,1561,743477,680515,892510
2022,7,420987,1869262,275455,260684,332356,854794,583350,459,543,1658,1396,1371,750691,675822,897756
2022,8,420692,1847285,275063,261575,328890,854458,582902,460,638,1586,1355,1505,759520,680252,909447
2022,9,425113,1836930,275857,259849,331575,856494,583719,460,567,1588,1438,1463,758597,678202,912319
2022,10,432677,1830477,278512,255500,333829,859672,589082,466,577,1555,1348,1432,755722,688352,917839
2022,11,421527,1842206,269783,252737,316555,858983,574907,455,582,1402,1543,1427,755826,679045,923660
2022,12,424810,1840896,281966,250323,321709,859340,580918,451,636,1409,1390,1357,763154,670566,922988
2023,1,428718,1882199,278372,258220,328516,860359,581049,439,649,1354,1377,1340,765898,696426,916744
2023,2,443133,1889562,270825,252720,322794,859843,571265,437,625,1482,1577,1436,766141,690375,915341
2023,3,456040,1901401,279837,257692,317270,852572,574915,433,640,1437,1528,1380,770540,681673,913499
2023,4,443798,1907837,283311,249646,321816,855448,576416,430,679,1417,1416,1348,772795,684636,909868
2023,5,442542,1946733,288857,248408,314655,853314,578626,426,710,1496,1534,1583,777594,689158,906308
2023,6,469779,1956226,301262,248178,311709,851905,592112,429,683,1441,1492,1418,781572,690518,902016
2023,7,473722,1969005,284282,251712,316679,852634,579414,429,728,1443,1334,1451,785168,694415,899541
2023,8,467697,2010143,283917,255417,314364,855320,585403,431,654,1541,1370,1305,793256,699540,899169
2023,9,472629,2017510,295365,261027,322971,856463,598595,435,698,1471,1459,1356,796329,705304,899500
2023,10,470587,2058903,280217,257885,323099,856465,577946,440,670,1498,1375,1376,795997,703528,896495
2023,11,461921,2082923,295403,254053,316711,856730,593104,448,609,1467,1456,1512,796091,703336,894166
2023,12,455594,2101042,294422,256863,321031,856616,591153,451,653,1493,1538,1566,800722,704107,898541
2024,1,448623,2096922,274229,257193,324627,855397,568570,457,664,1489,1445,1374,804510,696710,896661
2024,2,436358,2091511,277746,NA,NA,857734,576760,463,662,1524,1729,1521,808774,700727,901074
